position_lat,distance,enhanced_altitude,timestamp,position_long,speed,altitude,power,cadence
-11.6374357044697,31315.06,0.600000000000023,2023-03-13T15:28:23Z,166.959604024887,10.697,0.600000000000023,225,85
-11.6375027596951,31325.66,0.600000000000023,2023-03-13T15:28:24Z,166.959657669067,10.655,0.600000000000023,225,85
-11.6375738382339,31336.38,0.600000000000023,2023-03-13T15:28:25Z,166.95973277092,10.615,0.600000000000023,225,85
-11.6376475989819,31346.9,0.600000000000023,2023-03-13T15:28:26Z,166.959797143936,10.578,0.600000000000023,225,85
-11.6377253830433,31357.55,0.600000000000023,2023-03-13T15:28:27Z,166.95984005928,10.544,0.600000000000023,225,85
-11.6378045082092,31368.07,0.600000000000023,2023-03-13T15:28:28Z,166.959904432297,10.512,0.600000000000023,225,85
-11.6378849744797,31378.47,0.600000000000023,2023-03-13T15:28:29Z,166.959947347641,10.483,0.600000000000023,225,85
-11.6379667818546,31388.96,0.600000000000023,2023-03-13T15:28:30Z,166.959990262985,10.455,0.600000000000023,225,85
-11.6380499303341,31399.4,0.600000000000023,2023-03-13T15:28:31Z,166.960043907166,10.429,0.600000000000023,225,85
-11.638131737709,31409.8,0.600000000000023,2023-03-13T15:28:32Z,166.96008682251,10.406,0.600000000000023,225,85
-11.638216227293,31420.31,0.600000000000023,2023-03-13T15:28:33Z,166.960129737854,10.384,0.600000000000023,225,85
-11.638300716877,31430.58,0.600000000000023,2023-03-13T15:28:34Z,166.960183382034,10.363,0.600000000000023,225,85
-11.6383865475655,31440.98,0.600000000000023,2023-03-13T15:28:35Z,166.960204839706,10.344,0.600000000000023,225,85
-11.6384723782539,31451.33,0.600000000000023,2023-03-13T15:28:36Z,166.960258483887,10.326,0.600000000000023,225,85
-11.6385595500469,31461.68,0.600000000000023,2023-03-13T15:28:37Z,166.960290670395,10.31,0.600000000000023,225,85
-11.6386453807354,31471.91,0.600000000000023,2023-03-13T15:28:38Z,166.960312128067,10.295,0.600000000000023,225,85
-11.6387325525284,31482.21,0.600000000000023,2023-03-13T15:28:39Z,166.960344314575,10.281,0.600000000000023,225,85
-11.6388224065304,31492.59,0.600000000000023,2023-03-13T15:28:40Z,166.960376501083,10.268,0.600000000000023,225,85
-11.6389109194279,31502.87,0.600000000000023,2023-03-13T15:28:41Z,166.960408687592,10.229,0.600000000000023,225,85
-11.6389980912209,31513.07,0.600000000000023,2023-03-13T15:28:42Z,166.9604408741,10.13,0.600000000000023,225,85
-11.6390852630138,31523.08,0.800000000000011,2023-03-13T15:28:43Z,166.960473060608,10.008,0.800000000000011,225,85
-11.6391710937023,31532.97,0.800000000000011,2023-03-13T15:28:44Z,166.960483789444,9.906,0.800000000000011,225,85
-11.6392582654953,31542.98,1,2023-03-13T15:28:45Z,166.960515975952,9.856,1,225,85
-11.6393440961838,31552.86,1,2023-03-13T15:28:46Z,166.960526704788,9.873,1,225,85
-11.6394312679768,31562.68,0.800000000000011,2023-03-13T15:28:47Z,166.960558891296,9.951,0.800000000000011,225,85
